vd_mesadesc,vd_localizacao,itm,trn,trn_desc,prefixo,tipo,tipovenda,ano,mes,trn_dtgerencial,usr_lancou,prd,prd_desc,grp_desc,loc_desc,qtd,desconto,valorfinal,custo,itm_obs,comandaorigem,itemorigem
1800,,5,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,640,[DD] Gin Melancita Tanqueray,Dose Dupla,Montados,1,,"40,95",,b3,,
1800,,6,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,199,Dose Cachaça Ypióca 150,Doses,Shot e Dose,1,,"18,95",,,,
1743,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,71,Batata Frita,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"34,95",,F6 vestido brnco de renda,,
1744,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,121,Spaten 600ml,Cervejas,Bar,1,,"18,95","7,198",E5 zona camisa 1 copo,,
1744,,2,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,121,Spaten 600ml,Cervejas,Bar,1,,"18,95","7,198",,,
1747,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,116,Red Bull Melancia 250ml,Bebidas Não Alcoólicas,Bar,1,,"15,95","7,65",F5 zona 2|Copo com gelo,,
1745,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,121,Spaten 600ml,Cervejas,Bar,1,,"18,95","7,198",F5 de saia longa colorida,,
1745,,2,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,121,Spaten 600ml,Cervejas,Bar,1,,"18,95","7,198",,,
1748,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Phelipe,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",Limão espremido|Copo com gelo,,
1748,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Phelipe,63,Croquete de Carne 8un,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"49,95",,B2 bistro frente boqueta comida,,
1749,,1,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,b2,,
1749,,2,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,24,Caipirinha Limão,Drinks Classicos,Montados,1,,"26,95",,B2,,
1749,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,549,[DD] Caipirinha Limão,Dose Dupla,Montados,1,,"26,95",,,,
1749,,4,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,207,Dose Whisky JW Black Label,Doses,Shot e Dose,1,,"27,95",,,,
1749,,5,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,597,[DD] Original 300ml,Dose Dupla,Bar,1,,"12,95",,,,
1749,,6,271,,,venda integral,,2025,2025-12,2025-12-15,Phelipe,597,[DD] Original 300ml,Dose Dupla,Bar,1,,"12,95",,,,
1749,,7,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,597,[DD] Original 300ml,Dose Dupla,Bar,1,,"12,95",,,,
1749,,8,271,,,venda integral,,2025,2025-12,2025-12-15,jheydi,597,[DD] Original 300ml,Dose Dupla,Bar,1,,"12,95",,,,
1750,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,320,Baldinho Corona 4 Un. 600ml,Baldes,Baldes,1,,"91,8",36,F5,,
1750,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,219,Corona 600mL,Cervejas,Bar,1,,"22,95",9,camisa F5,,
1507,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,219,Corona 600mL,Cervejas,Bar,1,,"22,95",9,,,
1504,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,318,Baldinho Original 4Un. 600ml,Baldes,Baldes,1,,"75,8","28,954",camisa e 5 copos,,
1504,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,275,Porção de Pastel Misto,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"49,95",,,,
1504,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,69,Frango a Passarinho,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"69,95","9,05",,,
1504,,4,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,218,Garrafa Licor Don Luiz,Garrafas,Shot e Dose,1,,"240,95",,no gelo com 5 copos,,
1504,,5,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,531,[DD] Brasília Amarela,Dose Dupla,Montados,1,,"29,95",,,,
1504,,6,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",,,
1504,,7,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",,,
1533,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,550,[DD] Caipirinha Morango,Dose Dupla,Montados,1,,"26,95",,Buscar,,
