Data de competência,Tipo do lançamento,Recorrência,Descrição,Identificador do fornecedor/cliente,Nome do fornecedor/cliente,Código referência,Valor (R$),Número de parcelas,Observações,Categoria 1,Valor na Categoria 1,Centro de Custo 1,Categoria Macro,Ano,Mês,,Categs Cadastradas,Categ Macro
15/08/2025,,,Variação de Estoque,,,,"-R$ 6.743,58",,,Custo Drinks,,,Custo insumos (CMV),2025,8,,,
16/08/2025,,,Compensação Bebidas Confra,,,,"-R$ 318,87",,,Outros Sócios,,,SÓCIOS,2025,8,,,
16/08/2025,,,Compensação Bebidas Confra,,,,"R$ 318,87",,,Custo Drinks,,,Custo insumos (CMV),2025,8,,,
,,,,,,,,,,,,,,1899,12,,,
15/09/2025,,,Ambev Bonificação Contrato Cash-back Agosto,,,,"-R$ 17.500,00",,,Custo Bebidas,,,Custo insumos (CMV),2025,9,,,
31/08/2025,,,Ambev Bonificação Contrato Cash-back Agosto,,,,"R$ 17.500,00",,,Contratos,,,Não Operacionais,2025,8,,,
15/09/2025,,,Consumo Artistas,,,,,,,Produção Eventos,,,Despesas Comerciais,2025,9,,,
15/09/2025,,,Consumo Benefícios,,,,,,,Marketing,,,Despesas Comerciais,2025,9,,,
15/09/2025,,,Consumo Sócios,,,,,,,Outros Sócios,,,SÓCIOS,2025,9,,,
15/09/2025,,,"Consumo RH, Adm e Casa",,,,,,,RECURSOS HUMANOS,,,Despesas Administrativas,2025,9,,,
15/09/2025,,,Consumo Escritório Central,,,,,,,Escritório Central,,,Despesas Administrativas,2025,9,,,
15/09/2025,,,"Consumo Sócios, Benefícios, RH e Artistas",,,,,,,Custo Comida,,,Custo insumos (CMV),2025,9,,,
15/09/2025,,,Variação de Estoque,,,,,,,Custo Comida,,,Custo insumos (CMV),2025,9,,,
15/09/2025,,,Variação de Estoque,,,,,,,Custo Bebidas,,,Custo insumos (CMV),2025,9,,,
15/09/2025,,,Variação de Estoque,,,,,,,Custo Drinks,,,Custo insumos (CMV),2025,9,,,
,,,,,,,,,,,,,,1899,12,,,
,,,,,,,,,,,,,,1899,12,,,
,,,,,,,,,,,,,,1899,12,,,
,,,,,,,,,,,,,,1899,12,,,
,,,,,,,,,,,,,,1899,12,,,
,,,,,,,,,,,,,,1899,12,,,
