CH_Pagamentos,,,,,CH_Períodos,,,,,,,,CH_Analitico,,,,,,,,CH_Tempo,,,,,,,
Mês,Semana,dt_gerencial,liquido,meio,Mês,Ano,dt_gerencial,Semana,pessoas,vr_pagamentos,vr_repique,vr_couvert,Mês,Ano,vd_dtgerencial,Semana,valorfinal,grp_desc,loc_desc,Categoria,Mês,Ano,#REF!,Semana,#REF!,#REF!,#REF!,Categ
12,49,01/12/2025,"R$ 86,07",Debito Auto,12,2025,01/12/2025,49,1,"154,06","14,36",20,12,2025,01/12/2025,49,"R$ 22,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 248,09",Credito Auto,12,2025,01/12/2025,49,1,"86,07","9,22",,12,2025,01/12/2025,49,"R$ 14,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 127,18",Credito Auto,12,2025,01/12/2025,49,1,"248,09","24,44",20,12,2025,01/12/2025,49,"R$ 14,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 70,00",Dinheiro,12,2025,01/12/2025,49,1,"127,18","11,48",20,12,2025,01/12/2025,49,,Drinks Autorais,Shot e Dose,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 97,33",Pix Auto,12,2025,01/12/2025,49,1,70,"6,1",,12,2025,01/12/2025,49,"R$ 34,95",Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 48,05",Credito Auto,12,2025,01/12/2025,49,1,"97,33","10,43",,12,2025,01/12/2025,49,"R$ 14,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 75,85",Credito Auto,12,2025,01/12/2025,49,1,"48,05","5,15",,12,2025,01/12/2025,49,"R$ 33,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 167,27",Credito Auto,12,2025,01/12/2025,49,1,"75,85",,,12,2025,01/12/2025,49,"R$ 33,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 334,55",Credito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Preshh,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 167,56",Pix Auto,12,2025,01/12/2025,49,2,"501,82","53,77",,12,2025,01/12/2025,49,"R$ 33,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 241,32",Pix Auto,12,2025,01/12/2025,49,1,"167,56","15,81",20,12,2025,01/12/2025,49,"R$ 33,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 151,77",Debito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 32,95",Dose Dupla,Preshh,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 298,94",Credito Auto,12,2025,01/12/2025,49,2,"241,32","21,57",40,12,2025,01/12/2025,49,"R$ 12,95",Dose Dupla,Baldes,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 76,75",Credito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 28,90",Debito Auto,12,2025,01/12/2025,49,1,"151,77","14,12",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 95,09",Debito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 54,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 223,50",Credito Auto,12,2025,01/12/2025,49,2,"298,94","27,74",40,12,2025,01/12/2025,49,"R$ 34,95",Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
