fatporahora 31.01

vd_dtgerencial	dds	dia	hora	qtd	valor
2025-07-31	5	Thursday	17:00	7	=10837/100
2025-07-31	5	Thursday	18:00	53	=78904/100
2025-07-31	5	Thursday	19:00	311	=485702/100
2025-07-31	5	Thursday	20:00	=31185/100	=309189/100
2025-07-31	5	Thursday	21:00	=38435/100	=520005/100
2025-07-31	5	Thursday	22:00	271	=228428/100
2025-07-31	5	Thursday	23:00	153	=140917/100
2025-07-31	5	Thursday	24:00	83	=40971/100
2025-07-31	5	Thursday	25:00	7	=1395/100

analítico 31.01

vd_mesadesc	vd_localizacao	itm	trn	trn_desc	prefixo	tipo	tipovenda	ano	mes	trn_dtgerencial	usr_lancou	prd	prd_desc	grp_desc	loc_desc	qtd	desconto	valorfinal	custo	itm_obs	comandaorigem	itemorigem
Insumo		24	153			Insumo	Interna	2025	2025-07	2025-07-31	Igor	445	[IN] Corona Extra 330ml LN	Insumos		1			=61022/10000	v49819.vi3(p102).pi1(p445)	0516	Corona 330ml
Insumo		25	153			Insumo	Interna	2025	2025-07	2025-07-31	Igor	466	[IN] Original 600ml	Insumos		1			=69753/10000	v49810.vi4(p109).pi1(p466)	0508	Original 600ml
Insumo		26	153			Insumo	Interna	2025	2025-07	2025-07-31	Nayara	441	[IN] Spaten 600ml	Insumos		4			=249344/10000	v49830.vi1(p299).pi1(p441)	0526	[HH] Baldinho Spaten 4 .Un
Insumo		27	153			Insumo	Interna	2025	2025-07	2025-07-31	Igor	448	[IN] Água sem gás 500ml	Insumos		1			=11042/10000	v49857.vi4(p86).pi1(p448)	0547	Água sem Gás 500ml
Insumo		28	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	454	[IN] Original 300ml	Insumos		6			=161304/10000	v49811.vi8(p239).pi1(p454)	0509	[HH] Baldinho 6 Original 300mL
Insumo		29	153			Insumo	Interna	2025	2025-07	2025-07-31	Marra	441	[IN] Spaten 600ml	Insumos		1			=62336/10000	v49870.vi1(p157).pi1(p441)	0559	[HH] Spaten 600mL
Insumo		30	153			Insumo	Interna	2025	2025-07	2025-07-31	Nayara	445	[IN] Corona Extra 330ml LN	Insumos		1			=61022/10000	v49819.vi4(p102).pi1(p445)	0516	Corona 330ml
Insumo		31	153			Insumo	Interna	2025	2025-07	2025-07-31	Pedro Henrique 	466	[IN] Original 600ml	Insumos		1			=69753/10000	v49863.vi1(p109).pi1(p466)	0553	Original 600ml
Insumo		32	153			Insumo	Interna	2025	2025-07	2025-07-31	Igor	447	[IN] Água com gás 500ml	Insumos		1			=12017/10000	v49874.vi1(p85).pi1(p447)	0563	Água com Gás 500ml
Insumo		33	153			Insumo	Interna	2025	2025-07	2025-07-31	Kauan	441	[IN] Spaten 600ml	Insumos		1			=62336/10000	v49817.vi2(p157).pi1(p441)	0513	
Insumo		34	153			Insumo	Interna	2025	2025-07	2025-07-31	Kauan	441	[IN] Spaten 600ml	Insumos		1			=62336/10000	v49817.vi3(p157).pi1(p441)	0513	
Insumo		35	153			Insumo	Interna	2025	2025-07	2025-07-31	Kauan	441	[IN] Spaten 600ml	Insumos		2			=124672/10000	v49816.vi4(p121).pi1(p441)	0514	Spaten 600ml
Insumo		36	153			Insumo	Interna	2025	2025-07	2025-07-31	Marra	463	[IN] Corona Zero 330ml LN	Insumos		1			=58296/10000	v49879.vi1(p141).pi1(p463)	0569	Corona Zero 330ml
Insumo		37	153			Insumo	Interna	2025	2025-07	2025-07-31	Marra	443	[IN] Chopp Brahma L	Insumos		1			=119004/10000	v49878.vi2(p98).pi1(p443)	0567	Chopp Brahma 400ml
Insumo		38	153			Insumo	Interna	2025	2025-07	2025-07-31	Igor	441	[IN] Spaten 600ml	Insumos		4			=249344/10000	v49826.vi1(p299).pi1(p441)	0522	[HH] Baldinho Spaten 4 .Un
Insumo		39	153			Insumo	Interna	2025	2025-07	2025-07-31	Kauan	466	[IN] Original 600ml	Insumos		1			=69753/10000	v49884.vi2(p109).pi1(p466)	0573	Original 600ml
Insumo		40	153			Insumo	Interna	2025	2025-07	2025-07-31	Matheus A	448	[IN] Água sem gás 500ml	Insumos		1			=11042/10000	v49834.vi1(p86).pi1(p448)	0528	Água sem Gás 500ml
