Data;Dia da semana;Semana;Evento;Artista;Gênero;OBS
18/07/2025;SEXTA;29;Pagode Vira-Lata;Benzadeus;Pagode;
19/07/2025;SÁBADO;29;Samba Rainha;;Samba;
20/07/2025;DOMINGO;29;Uma Mesa e um Pagode;12 por 8;Pagode;
21/07/2025;SEGUNDA;30;Jet - Segunda da Resenha;;Samba;
23/07/2025;QUARTA;30;Quarta de Bamba;Breno Alves;Samba;
24/07/2025;QUINTA;30;Dani Lemos;Dani Lemos;Pagode;
25/07/2025;SEXTA;30;Pagode Vira-Lata;Benzadeus;Pagode;
26/07/2025;SÁBADO;30;Sambadona;;Samba;
27/07/2025;DOMINGO;30;PDJ;PDJ;Pagode;
28/07/2025;SEGUNDA;31;Jet - Segunda da Resenha;;Samba;
30/07/2025;QUARTA;31;Quarta de Bamba;Breno Alves;Samba;
31/07/2025;QUINTA;31;Lado a Lado;Lado a lado;Pagode;
01/08/2025;SEXTA;31;Pagode Vira-Lata;Benzadeus;Pagode;
02/08/2025;SÁBADO;31;Samba Rainha;;Samba;
03/08/2025;DOMINGO;31;STZ;Legado do samba;Samba;Label própria
04/08/2025;SEGUNDA;32;Jet - Segunda da Resenha;;Samba;
06/08/2025;QUARTA;32;Quarta de Bamba;Breno Alves;Samba;
07/08/2025;QUINTA;32;Quintal do Pagode;Stephanie;Pagode;
08/08/2025;SEXTA;32;Pagode Vira-Lata;Benzadeus;Pagode;
09/08/2025;SÁBADO;32;Sambadona;;Samba;
10/08/2025;DOMINGO;32;Uma Mesa e um Pagode;12 por 8;Pagode;
11/08/2025;SEGUNDA;33;Jet - Segunda da Resenha;;Samba;
13/08/2025;QUARTA;33;Quarta de Bamba;Breno Alves;Samba;
14/08/2025;QUINTA;33;Quintal do Pagode de Bsb;Lado a lado;Pagode;
15/08/2025;SEXTA;33;Pagode Vira-Lata;Benzadeus;Pagode;
16/08/2025;SÁBADO;33;Samba Rainha e Dj a definir;;Samba;
17/08/2025;DOMINGO;33;PDJ;PDJ;Pagode;
18/08/2025;SEGUNDA;34;Jet - Segunda da Resenha;;Samba;
20/08/2025;QUARTA;34;Quarta de Bamba;Breno Alves;Samba;
21/08/2025;QUINTA;34;Quintal do Pagode;Stephanie;Pagode;
22/08/2025;SEXTA;34;Pagode Vira-Lata;Benzadeus;Pagode;
23/08/2025;SÁBADO;34;Sambadona;;Samba;
24/08/2025;DOMINGO;34;Uma Mesa e um Pagode;12 por 8;Pagode;
25/08/2025;SEGUNDA;35;Jet - Segunda da Resenha;;Samba;
27/08/2025;QUARTA;35;Quarta de Bamba;Breno Alves;Samba;
28/08/2025;QUINTA;35;Quintal do Pagode de Bsb;Lado a lado;Pagode;
29/08/2025;SEXTA;35;Pagode Vira-Lata;Benzadeus;Pagode;
30/08/2025;SÁBADO;35;Samba Rainha e DJ a definir;;Samba;
31/08/2025;DOMINGO;35;PDJ;PDJ;Pagode;
