name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.calcular_tempo_producao\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""calcular_tempo_producao"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_calcular_tempo_producao_9bced49152049e9c2fc389af299a5074
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_getin_sync_status\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_getin_sync_status"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_getin_sync_status_0f69772c7d97be5ccf17bc44b11f2f04
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_valid_nibo_ids\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_valid_nibo_ids"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_valid_nibo_ids_1ec3fa8a480ca94e88ee660542cbaca6
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.create_whatsapp_reminder\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""create_whatsapp_reminder"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_create_whatsapp_reminder_7691ee1a4fc7eb924099dffcd3a061ce
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.cleanup_old_backups\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""cleanup_old_backups"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_cleanup_old_backups_4515e1590f085f438ea15a2c4f3974af
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.update_system_backups_updated_at\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""update_system_backups_updated_at"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_update_system_backups_updated_at_06bcf30ac3d0a7f279a54cbf228a7bec
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.execute_sql\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""execute_sql"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_execute_sql_8d3116bddd16911c4e8f744e68d8ea82
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_windsor_integration_status_v2\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_windsor_integration_status_v2"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_windsor_integration_status_v2_28d74db8456cf3440d9238f1d1bb7742
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.formatar_data_brasil\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""formatar_data_brasil"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_formatar_data_brasil_688d13337324bff803f34be0228ad45c
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.log_meta_rate_limits\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""log_meta_rate_limits"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_log_meta_rate_limits_2b02ec10de20add0bbd9c4ed82fd87f0
